int    ,pos(after sort) ,time
 68690 ,19              ,0.00
 99932 ,59              ,0.00
 97369 ,113             ,0.00
 58699 ,151             ,0.00
 26815 ,134             ,0.00
 64191 ,610             ,0.00
 18967 ,365             ,0.00
 93881 ,3594            ,0.00
 73320 ,5593            ,0.00
 80041 ,12291           ,0.00
 49368 ,15220           ,0.00
 82564 ,50677           ,0.00
 56279 ,69194           ,0.00
 91227 ,224082          ,0.00
 15135 ,74459           ,0.00
  4354 ,21419           ,0.00
 15834 ,77957           ,0.00
321562 ,-1              ,0.00
   564 ,2680            ,0.00
655534 ,-1              ,0.00
    54 ,259             ,0.00
491520 ,491519          ,0.00
491519 ,-1              ,0.00
491519 ,-1              ,0.00
491519 ,-1              ,0.00
1003,4885,0.00
1002,4881,0.00
