int    ,pos    ,time
 68690 ,13     ,0.00
 99932 ,59     ,0.00
 97369 ,119    ,0.00
 58699 ,239    ,0.00
 26815 ,479    ,0.00
 64191 ,959    ,0.00
 18967 ,1919   ,0.00
 93881 ,3839   ,0.00
 73320 ,7679   ,0.00
 80041 ,15359  ,0.00
 49368 ,21584  ,0.00
 82564 ,61439  ,0.00
 56279 ,107780 ,0.00
 91227 ,70039  ,0.00
 15135 ,4495   ,0.00
  4354 ,150599 ,0.00
 15834 ,11475  ,0.00
321562 ,-1     ,5.00
   564 ,36600  ,0.00
655534 ,-1     ,0.00
    54 ,31935  ,0.00
491520 ,0      ,0.00
491519 ,-1     ,3.00
491519 ,-1     ,0.00
491519 ,-1     ,0.00
1003, 12658, 0.00
1002, 102421, 0.00
